Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Scott Sandelin,'D',8/8/64,0,25,0,4,4,2,4,'--','--','--',1,'--','--','--','--',1,0,0,0,0,'R','D',8/8/64,Hibbing,'MN','USA','USA',72,200,1982,2,40,19861987,1986,'N',25,0,4,4
Andreas Thuresson,'R',11/18/87,0,25,1,2,3,6,14,'10:00','2.4','3',3,'0','0.72','0.72','0',3,0,0,0,0,'R','R',11/18/87,Kristianstad,'--','SWE','SWE',73,206,2007,5,144,20092010,2009,'N',25,1,2,3
Anssi Melametsa,'R',6/21/61,0,27,0,3,3,2,4,'--','--','--',1,'--','--','--','--',1,0,0,0,0,'L','R',6/21/61,Jyväskylä,'--','FIN','FIN',72,194,1985,12,249,19851986,1985,'N',27,0,3,3
Steve Regier,'L',8/31/84,0,26,3,1,4,8,18,'8:06','3.8','--',4,'--','--','--','--',4,0,0,0,0,'L','L',8/31/84,Edmonton,'AB','CAN','CAN',76,194,2004,5,148,20052006,2005,'N',26,3,1,4
Andrei Bashkirov,'L',6/22/70,0,30,0,3,3,0,0,'9:39','0','--',0,'--','--','--','--',0,0,0,0,0,'L','L',6/22/70,Chelehov,'--','RUS','RUS',72,215,1998,5,132,19981999,1998,'N',30,0,3,3
Jiri Dopita,'C',12/2/68,1,73,12,21,33,19,15,'14:49','1.8','--',8,'--','--','--','--',7,1,0,0,0,'L','C',12/2/68,Sumperk,'--','CZE','CZE',76,222,1998,5,123,20012002,2001,'N',73,12,21,33
Robert Sullivan,'L',11/29/57,0,62,18,19,37,18,17,'--','--','--',9,'--','--','--','--',9,0,0,0,0,'L','L',11/29/57,Noranda,'QC','CAN','CAN',72,225,1978,11,180,19821983,1982,'N',62,18,19,37
Chris O'Sullivan,'D',5/15/74,0,62,2,17,19,16,15,'--','--','--',8,'--','--','--','--',8,0,0,0,0,'L','D',5/15/74,Dorchester,'MA','USA','USA',74,213,1992,2,30,19961997,1996,'N',62,2,17,19
Vladimir Krutov,'L',6/1/60,0,61,11,23,34,20,19,'--','--','--',10,'--','--','--','--',10,0,0,0,0,'L','L',6/1/60,Moscow,'--','RUS','RUS',69,195,1986,12,238,19891990,1989,'N',61,11,23,34
Thomas Forslund,'R',11/24/68,0,44,5,11,16,12,16,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'L','R',11/24/68,Falun,'--','SWE','SWE',71,200,1988,5,85,19911992,1991,'N',44,5,11,16
Emanuel Viveiros,'D',1/8/66,0,29,1,11,12,6,12,'--','--','--',3,'--','--','--','--',3,0,0,0,0,'L','D',1/8/66,St. Albert,'AB','CAN','CAN',72,175,1984,6,106,19851986,1985,'N',29,1,11,12
Christoph Brandner,'L',5/7/75,0,35,4,5,9,8,13,'13:20','1.7','--',4,'--','--','--','--',4,0,0,0,0,'L','L',5/7/75,Bruck an der Mur,'--','AUT','AUT',76,224,2002,8,237,20032004,2003,'N',35,4,5,9
Miroslav Dvorak,'D',10/11/51,1,193,11,74,85,51,15,'--','--','--',24,'--','--','--','--',23,1,0,0,0,'R','D',10/11/51,Hluboka,'--','CZE','CZE',70,195,1982,3,46,19821983,1982,'N',193,11,74,85
Edward Courtenay,'R',2/2/68,0,44,7,13,20,10,13,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'R','R',2/2/68,Montreal,'QC','CAN','CAN',76,216,NaN,NaN,NaN,19911992,1991,'N',44,7,13,20
Veli-Pekka Ketola,'C',3/28/48,0,44,9,5,14,4,5,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'L','C',3/28/48,Pori,'--','FIN','FIN',75,220,NaN,NaN,NaN,19811982,1981,'N',44,9,5,14
Kelly Fairchild,'C',4/9/73,0,34,2,3,5,6,10,'--','--','--',3,'--','--','--','--',3,0,0,0,0,'L','C',4/9/73,Hibbing,'MN','USA','USA',71,198,1991,7,152,19951996,1995,'N',34,2,3,5
Kevin Roy,'C',5/20/93,0,28,6,1,7,6,12,'13:35','1.6','6',3,'3','0.95','0.47','0.47',3,0,0,0,0,'L','C',5/20/93,Greenfield Park,'QC','CAN','CAN',69,172,2012,4,97,20172018,2017,'N',28,6,1,7
Scott Barney,'C',3/27/79,0,27,5,6,11,4,8,'10:18','1.4','--',2,'--','--','--','--',2,0,0,0,0,'R','C',3/27/79,Oshawa,'ON','CAN','CAN',76,225,1997,2,29,20022003,2002,'N',27,5,6,11
Jeff Shevalier,'L',3/14/74,0,32,5,9,14,8,15,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'L','L',3/14/74,Mississauga,'ON','CAN','CAN',71,178,1992,5,111,19941995,1994,'N',32,5,9,14
Alexandre Kharitonov,'R',3/30/76,0,71,7,15,22,12,10,'11:07','1.5','--',6,'--','--','--','--',6,0,0,0,0,'R','R',3/30/76,Moscow,'--','RUS','RUS',68,170,2000,3,81,20002001,2000,'N',71,7,15,22
Sergei Priakin,'L',12/7/63,0,46,3,8,11,2,2,'--','--','--',1,'--','--','--','--',1,0,0,0,0,'L','L',12/7/63,Moscow,'--','RUS','RUS',75,209,1988,12,252,19881989,1988,'N',46,3,8,11
Nikolai Prokhorkin,'L',9/17/93,0,43,4,10,14,6,8,'12:05','1.2','5',3,'2','0.58','0.35','0.23',3,0,0,0,0,'L','L',9/17/93,Chelyabinsk,'--','RUS','RUS',75,190,2012,4,121,20192020,2019,'N',43,4,10,14
Lucas Lessio,'L',1/23/93,0,41,3,4,7,12,17,'11:59','2.4','10',6,'4','1.22','0.73','0.49',6,0,0,0,0,'L','L',1/23/93,Maple,'ON','CAN','CAN',73,212,2011,2,56,20132014,2013,'N',41,3,4,7
David Emma,'C',1/14/69,0,34,5,6,11,2,3,'--','--','--',1,'--','--','--','--',1,0,0,0,0,'L','C',1/14/69,Cranston,'RI','USA','USA',70,187,1989,6,110,19921993,1992,'N',34,5,6,11
Greg Meredith,'R',2/23/58,0,38,6,4,10,8,12,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'R','R',2/23/58,Toronto,'ON','CAN','CAN',72,209,1978,6,97,19801981,1980,'N',38,6,4,10
Rocky Trottier,'C',4/11/64,0,38,6,4,10,2,3,'--','--','--',1,'--','--','--','--',1,0,0,0,0,'R','C',4/11/64,Climax,'SK','CAN','CAN',70,182,1982,1,8,19831984,1983,'N',38,6,4,10
David Jensen,'C',8/19/65,1,69,9,13,22,22,19,'--','--','--',11,'--','--','--','--',11,0,0,0,0,'L','C',8/19/65,Newton,'MA','USA','USA',73,195,1983,1,20,19841985,1984,'N',69,9,13,22
Ron Anderson,'R',7/29/45,4,28,9,7,16,8,17,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'R','R',7/29/45,Red Deer,'AB','CAN','CAN',72,170,NaN,NaN,NaN,19671968,1967,'N',251,28,30,58
Mathias Johansson,'C',2/22/74,0,58,5,10,15,16,16,'13:20','2.1','--',8,'--','--','--','--',8,0,0,0,0,'L','C',2/22/74,Oskarshamn,'--','SWE','SWE',73,200,1992,3,54,20022003,2002,'N',58,5,10,15
Dwayne Hay,'L',2/11/77,0,79,2,4,6,22,16,'7:35','3.7','--',11,'--','--','--','--',11,0,0,0,0,'L','L',2/11/77,London,'ON','CAN','CAN',73,219,1995,2,43,19971998,1997,'N',79,2,4,6
Brent Peterson,'L',2/15/58,12,56,9,1,10,6,6,'--','--','--',3,'--','--','--','--',3,0,0,0,0,'R','C',2/15/58,Calgary,'AB','CAN','CAN',72,190,1978,1,12,19781979,1978,'N',620,72,141,213
John Chabot,'C',5/18/62,0,508,84,228,312,85,10,'--','--','--',37,'--','--','--','--',35,1,0,1,0,'L','C',5/18/62,Summerside,'PE','CAN','CAN',74,200,1980,2,40,19831984,1983,'N',508,84,228,312
Ilkka Pikkarainen,'R',4/19/81,0,31,1,3,4,10,19,'8:08','4','2',5,'-3','0.48','1.19','-0.71',5,0,0,0,0,'R','R',4/19/81,Sonkajärvi,'--','FIN','FIN',74,215,2002,7,218,20092010,2009,'N',31,1,3,4
Nikita Alexeev,'R',12/27/81,0,159,20,17,37,28,10,'12:32','1.4','--',14,'--','--','--','--',14,0,0,0,0,'L','R',12/27/81,Murmansk,'--','RUS','RUS',78,227,2000,1,8,20012002,2001,'N',159,20,17,37
Alexei Tezikov,'D',6/22/78,0,30,1,1,2,2,4,'11:51','0.6','--',1,'--','--','--','--',1,0,0,0,0,'L','D',6/22/78,Togliatti,'--','RUS','RUS',73,200,1996,5,115,19981999,1998,'N',30,1,1,2
Robert Dome,'L',1/29/79,0,53,7,7,14,12,13,'10:27','2.2','--',2,'--','--','--','--',1,0,0,1,0,'L','L',1/29/79,Senica,'--','SVK','SVK',72,217,1997,1,17,19971998,1997,'N',53,7,7,14
Michael Dark,'D',9/17/63,0,43,5,6,11,14,19,'--','--','--',7,'--','--','--','--',7,0,0,0,0,'R','D',9/17/63,Sarnia,'ON','CAN','CAN',75,210,1982,6,124,19861987,1986,'N',43,5,6,11
Ken Solheim,'L',3/27/61,1,135,19,20,39,34,15,'--','--','--',14,'--','--','--','--',12,2,0,0,0,'L','L',3/27/61,Hythe,'AB','CAN','CAN',75,209,1980,2,30,19801981,1980,'N',135,19,20,39
Lars Molin,'L',5/7/56,2,172,33,65,98,37,12,'--','--','--',17,'--','--','--','--',16,1,0,0,0,'L','L',5/7/56,Ornskoldsvik,'--','SWE','SWE',71,176,NaN,NaN,NaN,19811982,1981,'N',172,33,65,98
Donald MacLean,'C',1/14/77,0,41,8,5,13,6,8,'11:17','1.3','--',3,'--','--','--','--',3,0,0,0,0,'L','C',1/14/77,Sydney,'NS','CAN','CAN',74,199,1995,2,33,19971998,1997,'N',41,8,5,13
Joe Hulbig,'L',9/29/73,0,55,4,4,8,16,17,'--','--','--',8,'--','--','--','--',8,0,0,0,0,'L','L',9/29/73,Norwood,'MA','USA','USA',76,215,1992,1,13,19961997,1996,'N',55,4,4,8
Mike Watt,'L',3/31/76,1,157,15,26,41,41,15,'11:27','2.3','--',19,'--','--','--','--',18,1,0,0,0,'L','L',3/31/76,Seaforth,'ON','CAN','CAN',74,210,1994,2,32,19971998,1997,'N',157,15,26,41
Lonny Bohonos,'R',5/20/73,0,83,19,16,35,22,15,'--','--','--',11,'--','--','--','--',11,0,0,0,0,'R','R',5/20/73,Winnipeg,'MB','CAN','CAN',71,200,NaN,NaN,NaN,19951996,1995,'N',83,19,16,35
Jack Hughes,'C',7/20/57,8,163,42,64,106,26,9,'18:03','0.9','50',9,'41','1.02','0.18','0.84',8,0,0,1,0,'R','D',7/20/57,Somerville,'MA','USA','USA',73,205,1977,9,142,19801981,1980,'N',46,2,5,7
Doug Sulliman,'L',8/29/59,7,631,160,168,328,175,16,'--','--','--',61,'--','--','--','--',50,7,0,2,2,'L','L',8/29/59,Glace Bay,'NS','CAN','CAN',74,209,1979,1,13,19791980,1979,'N',631,160,168,328
Jeff Daniels,'L',6/24/68,1,425,17,26,43,83,11,'--','--','--',36,'--','--','--','--',34,1,0,1,0,'L','L',6/24/68,Oshawa,'ON','CAN','CAN',73,200,1986,6,109,19901991,1990,'N',425,17,26,43
Mike Moller,'R',6/16/62,0,134,15,28,43,41,18,'--','--','--',19,'--','--','--','--',18,1,0,0,0,'R','R',6/16/62,Calgary,'AB','CAN','CAN',73,187,1980,2,41,19801981,1980,'N',134,15,28,43
David Latta,'L',1/3/67,0,36,4,8,12,4,6,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'L','L',1/3/67,Thunder Bay,'ON','CAN','CAN',73,190,1985,1,15,19851986,1985,'N',36,4,8,12
Chris Mueller,'C',3/6/86,0,53,3,7,10,8,9,'9:43','1.6','6',4,'2','0.7','0.47','0.23',4,0,0,0,0,'R','C',3/6/86,West Seneca,'NY','USA','USA',70,201,NaN,NaN,NaN,20102011,2010,'N',53,3,7,10
Lew Morrison,'R',2/11/48,4,564,39,52,91,107,11,'--','--','--',45,'--','--','--','--',40,5,0,0,0,'R','R',2/11/48,Gainsborough,'SK','CAN','CAN',72,185,1968,1,8,19691970,1969,'N',564,39,52,91
Mike Sislo,'R',1/20/88,0,42,3,2,5,6,8,'11:11','1.3','2',3,'-1','0.26','0.38','-0.13',3,0,0,0,0,'R','R',1/20/88,Superior,'WI','USA','USA',71,190,NaN,NaN,NaN,20132014,2013,'N',42,3,2,5
Jonas Hoglund,'R',8/29/72,0,545,117,145,262,112,12,'--','--','--',56,'--','--','--','--',56,0,0,0,0,'R','R',8/29/72,Hammaro,'--','SWE','SWE',75,218,1992,10,222,19961997,1996,'N',545,117,145,262
Jan Erixon,'L',7/8/62,1,556,57,159,216,167,18,'--','--','--',75,'--','--','--','--',71,3,0,0,1,'L','L',7/8/62,Skellefteå,'--','SWE','SWE',72,196,1981,2,30,19831984,1983,'N',556,57,159,216
Grigori Panteleev,'L',11/17/72,0,54,8,6,14,12,13,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'L','L',11/17/72,Gastello,'--','RUS','LVA',69,194,1992,6,136,19921993,1992,'N',54,8,6,14
Eric Daze,'L',7/2/75,0,601,226,172,398,176,17,'--','--','--',80,'--','--','--','--',78,0,0,1,1,'L','L',7/2/75,Montreal,'QC','CAN','CAN',78,235,1993,4,90,19941995,1994,'N',601,226,172,398
Patrick Rissmiller,'L',10/26/78,0,192,18,28,46,60,18,'12:04','2.6','--',30,'--','--','--','--',30,0,0,0,0,'L','L',10/26/78,Belmont,'MA','USA','USA',76,225,NaN,NaN,NaN,20032004,2003,'N',192,18,28,46
Sylvain Couturier,'C',4/23/68,0,33,4,5,9,4,7,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'L','C',4/23/68,Greenfield Park,'QC','CAN','CAN',74,205,1986,4,65,19881989,1988,'N',33,4,5,9
Rick Kehoe,'R',7/15/51,0,906,371,396,767,120,7,'--','--','--',56,'--','--','--','--',55,0,0,0,1,'R','R',7/15/51,Windsor,'ON','CAN','CAN',71,180,1971,2,22,19711972,1971,'N',906,371,396,767
Vladimir Tsyplakov,'L',4/18/69,0,331,69,101,170,90,16,'--','--','--',45,'--','--','--','--',45,0,0,0,0,'L','L',4/18/69,Moscow,'--','RUS','BLR',73,210,1995,3,59,19951996,1995,'N',331,69,101,170
Chris Nielsen,'R',2/16/80,0,52,6,8,14,8,9,'10:37','1.5','--',4,'--','--','--','--',4,0,0,0,0,'R','R',2/16/80,Moshi,'--','TZA','CAN',74,214,1998,2,36,20002001,2000,'N',52,6,8,14
Ryan Hamilton,'L',4/15/85,0,30,1,4,5,8,16,'12:12','2.2','2',4,'-2','0.33','0.66','-0.33',4,0,0,0,0,'L','L',4/15/85,Oshawa,'ON','CAN','CAN',74,219,NaN,NaN,NaN,20112012,2011,'N',30,1,4,5
Brandon Smith,'D',2/25/73,0,33,3,4,7,10,18,'15:58','1.9','--',5,'--','--','--','--',5,0,0,0,0,'L','D',2/25/73,Hazelton,'BC','CAN','CAN',73,200,NaN,NaN,NaN,19981999,1998,'N',33,3,4,7
Arto Blomsten,'D',3/16/65,0,25,0,4,4,8,19,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'L','D',3/16/65,Vaasa,'--','FIN','SWE',75,198,1986,12,239,19931994,1993,'N',25,0,4,4
Ivan Hlinka,'C',1/26/50,0,137,42,81,123,28,12,'--','--','--',14,'--','--','--','--',14,0,0,0,0,'L','C',1/26/50,Most,'--','CZE','CZE',74,220,NaN,NaN,NaN,19811982,1981,'N',137,42,81,123
Frank Spring,'R',10/19/49,0,61,14,20,34,12,11,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','R',10/19/49,Cranbrook,'BC','CAN','CAN',75,216,1969,1,4,19691970,1969,'N',61,14,20,34
Matt Taormina,'D',10/20/86,0,59,4,8,12,6,6,'17:13','0.6','8',3,'5','0.47','0.18','0.3',3,0,0,0,0,'L','D',10/20/86,Warren,'MI','USA','USA',70,188,NaN,NaN,NaN,20102011,2010,'N',59,4,8,12
Lyle Phair,'D',3/8/61,0,48,6,7,13,12,15,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'L','D',3/8/61,Pilot Mound,'MB','CAN','CAN',72,189,NaN,NaN,NaN,19851986,1985,'N',48,6,7,13
Rick Shinske,'C',5/31/55,0,63,5,16,21,10,9,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'L','C',5/31/55,Weyburn,'SK','CAN','CAN',70,165,1975,7,111,19761977,1976,'N',63,5,16,21
Drew Callander,'R',8/17/56,1,39,6,2,8,7,10,'--','--','--',2,'--','--','--','--',1,1,0,0,0,'R','R',8/17/56,Regina,'SK','CAN','CAN',74,185,1976,2,35,19761977,1976,'N',39,6,2,8
Dwight King,'L',7/5/89,6,365,53,56,109,98,16,'14:18','1.9','31',41,'-10','0.36','0.47','-0.11',37,4,0,0,0,'L','L',7/5/89,Meadow Lake,'SK','CAN','CAN',76,229,2007,4,109,20102011,2010,'N',365,53,56,109
Andy Brickley,'L',8/9/61,1,385,82,140,222,81,12,'--','--','--',39,'--','--','--','--',38,1,0,0,0,'L','L',8/9/61,Melrose,'MA','USA','USA',71,200,1980,10,210,19821983,1982,'N',385,82,140,222
Patric Kjellberg,'L',6/17/69,0,394,64,96,160,84,12,'--','--','--',42,'--','--','--','--',42,0,0,0,0,'L','L',6/17/69,Trelleborg,'--','SWE','SWE',75,210,1988,4,83,19921993,1992,'N',394,64,96,160
Pat MacLeod,'D',6/15/69,0,53,5,13,18,14,15,'--','--','--',7,'--','--','--','--',7,0,0,0,0,'L','D',6/15/69,Melfort,'SK','CAN','CAN',71,190,1989,5,87,19901991,1990,'N',53,5,13,18
Peter Douris,'R',2/19/66,5,321,54,67,121,80,14,'--','--','--',34,'--','--','--','--',30,4,0,0,0,'R','R',2/19/66,Toronto,'ON','CAN','CAN',73,195,1984,2,30,19851986,1985,'N',321,54,67,121
James Black,'L',8/15/69,0,352,58,57,115,84,14,'--','--','--',38,'--','--','--','--',37,0,0,1,0,'L','L',8/15/69,Regina,'SK','CAN','CAN',71,210,1989,5,94,19891990,1989,'N',352,58,57,115
John Anderson,'R',3/28/57,3,814,282,349,631,261,19,'--','--','--',114,'--','--','--','--',108,3,0,3,0,'L','R',3/28/57,Toronto,'ON','CAN','CAN',71,200,1977,1,11,19771978,1977,'N',814,282,349,631
Don Spring,'D',6/16/59,0,259,1,54,55,80,18,'--','--','--',37,'--','--','--','--',35,2,0,0,0,'L','D',6/16/59,Maracaibo,'--','VEN','CAN',70,194,NaN,NaN,NaN,19801981,1980,'N',259,1,54,55
Brad Schlegel,'D',7/22/68,0,48,1,8,9,10,12,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'R','D',7/22/68,Kitchener,'ON','CAN','CAN',70,188,1988,7,144,19911992,1991,'N',48,1,8,9
Jeff Heerema,'R',1/17/80,0,32,4,2,6,6,11,'9:56','1.9','--',3,'--','--','--','--',3,0,0,0,0,'R','R',1/17/80,Thunder Bay,'ON','CAN','CAN',74,212,1998,1,11,20022003,2002,'N',32,4,2,6
Jamie Leach,'R',8/25/69,0,81,11,9,20,12,8,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','R',8/25/69,Philadelphia,'PA','USA','USA',73,205,1987,3,47,19891990,1989,'N',81,11,9,20
Michael McNeil,'R',7/22/66,0,63,5,11,16,18,17,'--','--','--',9,'--','--','--','--',9,0,0,0,0,'L','R',7/22/66,Winona,'MN','USA','USA',73,195,NaN,NaN,NaN,19901991,1990,'N',63,5,11,16
Jesse Belanger,'C',6/15/69,0,246,59,76,135,56,13,'--','--','--',27,'--','--','--','--',27,0,0,0,0,'R','C',6/15/69,St-Georges De Beauce,'QC','CAN','CAN',73,190,NaN,NaN,NaN,19911992,1991,'N',246,59,76,135
Jack Brownschidle,'D',10/2/55,2,494,39,162,201,151,18,'--','--','--',71,'--','--','--','--',68,3,0,0,0,'L','D',10/2/55,Buffalo,'NY','USA','USA',74,195,1975,6,99,19771978,1977,'N',494,39,162,201
Rob Valicevic,'R',1/6/71,0,193,28,20,48,61,18,'13:03','2.4','--',29,'--','--','--','--',28,1,0,0,0,'R','R',1/6/71,Detroit,'MI','USA','USA',74,208,1991,6,114,19981999,1998,'N',193,28,20,48
Radoslav Suchy,'D',4/7/76,0,451,13,58,71,104,13,'17:52','1.3','--',52,'--','--','--','--',52,0,0,0,0,'L','D',4/7/76,Kezmarok,'--','SVK','SVK',74,201,NaN,NaN,NaN,19992000,1999,'N',451,13,58,71
Peter Ratchuk,'D',9/10/77,0,32,1,1,2,10,18,'13:43','2.3','--',5,'--','--','--','--',5,0,0,0,0,'L','D',9/10/77,Buffalo,'NY','USA','USA',72,175,1996,1,25,19981999,1998,'N',32,1,1,2
Brett Carson,'D',11/29/85,0,90,2,11,13,20,13,'15:10','1.5','--',10,'--','--','--','--',10,0,0,0,0,'R','D',11/29/85,Regina,'SK','CAN','CAN',76,210,2004,4,109,20082009,2008,'N',90,2,11,13
Evgeny Grachev,'C',2/21/90,0,34,1,3,4,2,3,'8:57','0.7','4',1,'3','0.79','0.2','0.59',1,0,0,0,0,'R','C',2/21/90,Khabarovsk,'--','RUS','RUS',76,225,2008,3,75,20102011,2010,'N',34,1,3,4
Marko Kiprusoff,'D',6/6/72,0,51,0,10,10,12,14,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','D',6/6/72,Turku,'--','FIN','FIN',72,194,1994,3,70,19951996,1995,'N',51,0,10,10
Mike Sullivan,'C',2/27/68,1,709,54,82,136,203,17,'--','--','--',100,'--','--','--','--',99,1,0,0,0,'L','C',2/27/68,Marshfield,'MA','USA','USA',74,211,1987,4,69,19911992,1991,'N',709,54,82,136
Jean-Marc Lanthier,'R',3/27/63,0,105,16,16,32,29,16,'--','--','--',13,'--','--','--','--',12,1,0,0,0,'R','R',3/27/63,Montreal,'QC','CAN','CAN',74,195,1981,3,52,19831984,1983,'N',105,16,16,32
