Player,Pos,DOB,DOB Year,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Jeff Cowan,L,1976-09-27,1976,61,413,47,34,81,695,1:40,9:12,18.3,--,204,--,--,--,--,130,61,0,12,1,L,L,1976-09-27,Scarborough,ON,CAN,CAN,74,205,--,--,--,19992000,1999,N,413,47,34,81
Sean Brown,D,1976-11-05,1976,61,436,14,43,57,907,2:04,--,--,--,295,--,--,--,--,216,63,1,11,4,L,D,1976-11-05,Oshawa,ON,CAN,CAN,75,215,1995,1,21,19961997,1996,N,436,14,43,57
Antoine Roussel,L,1989-11-21,1989,61,601,84,111,195,"1,059",1:45,13:08,13.4,258,320,-62,1.96,2.43,-0.47,231,59,0,27,3,L,L,1989-11-21,Roubaix,--,FRA,FRA,71,200,--,--,--,20122013,2012,N,601,84,111,195
Chris Chelios,D,1962-01-25,1962,60,"1,651",185,763,948,"2,891",1:45,--,--,--,"1,043",--,--,--,--,906,61,1,51,24,R,D,1962-01-25,Chicago,IL,USA,USA,72,191,1981,2,40,19831984,1983,Y,"1,651",185,763,948
Ed Kastelic,R,1964-01-29,1964,60,220,11,10,21,719,3:16,--,--,--,180,--,--,--,--,97,61,0,10,12,R,R,1964-01-29,Toronto,ON,CAN,SVN,76,215,1982,6,110,19851986,1985,N,220,11,10,21
Alan Kerr,R,1964-03-28,1964,60,391,72,94,166,826,2:06,--,--,--,286,--,--,--,--,216,62,0,2,6,R,R,1964-03-28,Hazelton,BC,CAN,CAN,71,195,1982,4,84,19841985,1984,N,391,72,94,166
Nevin Markwart,L,1964-12-09,1964,60,309,41,68,109,794,2:34,--,--,--,285,--,--,--,--,219,62,1,1,2,L,L,1964-12-09,Toronto,ON,CAN,CAN,70,180,1983,1,21,19831984,1983,N,309,41,68,109
Bob Bassen,L,1965-05-06,1965,60,765,88,144,232,"1,004",1:18,--,--,--,384,--,--,--,--,317,60,0,4,3,L,L,1965-05-06,Calgary,AB,CAN,CAN,70,190,--,--,--,19851986,1985,N,765,88,144,232
Adam Burt,D,1969-01-15,1969,60,737,37,115,152,961,1:18,--,--,--,374,--,--,--,--,308,63,0,1,2,L,D,1969-01-15,Detroit,MI,USA,USA,74,210,1987,2,39,19881989,1988,N,737,37,115,152
Scott Daniels,L,1969-09-19,1969,60,149,8,12,20,667,4:28,--,--,--,157,--,--,--,--,74,63,1,12,7,L,L,1969-09-19,Mistawasis,SK,CAN,CAN,75,215,1989,7,136,19921993,1992,N,149,8,12,20
Dave Karpa,D,1971-05-07,1971,60,557,18,80,98,"1,374",2:28,--,--,--,444,--,--,--,--,344,64,0,30,6,R,D,1971-05-07,Regina,SK,CAN,CAN,73,205,1991,4,68,19911992,1991,N,557,18,80,98
Bryan McCabe,D,1975-06-08,1975,60,"1,135",145,383,528,"1,732",1:31,--,--,--,696,--,--,--,--,615,62,0,10,9,L,D,1975-06-08,St. Catharines,ON,CAN,CAN,74,223,1993,2,40,19951996,1995,N,"1,135",145,383,528
Deryk Engelland,D,1982-04-03,1982,60,671,30,97,127,579,0:51,16:27,5.2,129,179,-50,0.7,0.97,-0.27,117,55,1,4,2,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20092010,2009,N,671,30,97,127
Ben Eager,L,1984-01-22,1984,60,407,43,42,85,875,2:08,8:32,25.2,--,246,--,--,--,--,162,59,2,19,4,L,L,1984-01-22,Ottawa,ON,CAN,CAN,74,226,2002,1,23,20052006,2005,N,407,43,42,85
Paul Bissonnette,L,1985-03-11,1985,60,202,7,15,22,340,1:40,5:18,31.8,--,80,--,--,--,--,25,52,0,3,0,L,L,1985-03-11,Welland,ON,CAN,CAN,74,216,2003,4,121,20082009,2008,N,202,7,15,22
Jerry Korab,D,1948-09-15,1948,59,975,114,341,455,"1,629",1:40,--,--,--,615,--,--,--,--,529,59,2,16,9,L,D,1948-09-15,Sault Ste. Marie,ON,CAN,CAN,75,220,--,--,--,19701971,1970,N,975,114,341,455
Brad Smith,R,1958-04-13,1958,59,222,28,34,62,593,2:40,--,--,--,157,--,--,--,--,88,55,0,8,6,R,R,1958-04-13,Windsor,ON,CAN,CAN,72,194,1978,4,57,19781979,1978,N,222,28,34,62
Jim Pavese,D,1962-06-08,1962,59,328,13,44,57,689,2:06,--,--,--,222,--,--,--,--,159,53,0,5,5,L,D,1962-06-08,New York City,NY,USA,USA,74,205,1980,3,54,19811982,1981,N,328,13,44,57
Barret Jackman,D,1981-03-05,1981,59,876,29,157,186,"1,102",1:15,19:50,6.3,--,408,--,--,--,--,338,56,0,11,3,L,D,1981-03-05,Trail,BC,CAN,CAN,72,203,1999,1,17,20012002,2001,N,876,29,157,186
Luke Schenn,D,1989-11-02,1989,59,848,36,130,166,666,0:47,17:41,4.4,--,223,--,--,--,--,161,56,0,6,0,R,D,1989-11-02,Saskatoon,SK,CAN,CAN,74,225,2008,1,5,20082009,2008,N,849,36,130,166
Derek Boogaard,L,1982-06-23,1982,59,277,3,13,16,589,2:07,5:05,41.7,--,175,--,--,--,--,107,61,0,7,0,L,L,1982-06-23,Saskatoon,SK,CAN,CAN,79,265,2001,7,202,20052006,2005,N,277,3,13,16
Martin Lapointe,R,1973-09-12,1973,58,991,181,200,381,"1,417",1:25,--,--,--,472,--,--,--,--,376,59,1,26,10,R,R,1973-09-12,Ville St. Pierre,QC,CAN,CAN,71,215,1991,1,10,19911992,1991,N,991,181,200,381
Chris McAllister,L,1975-06-16,1975,58,301,4,17,21,634,2:06,9:44,21.6,--,190,--,--,--,--,122,58,0,5,5,L,L,1975-06-16,Saskatoon,SK,CAN,CAN,79,250,1995,2,40,19971998,1997,N,301,4,17,21
Brenden Morrow,L,1979-01-16,1979,58,991,265,310,575,"1,362",1:22,16:48,8.2,--,551,--,--,--,--,481,60,0,6,4,L,L,1979-01-16,Carlyle,SK,CAN,CAN,71,212,1997,1,25,19992000,1999,N,991,265,310,575
Mario Tremblay,R,1956-09-02,1956,57,852,258,326,584,"1,043",1:13,--,--,--,345,--,--,--,--,273,47,1,18,6,R,R,1956-09-02,Alma,QC,CAN,CAN,72,189,1974,1,12,19741975,1974,N,852,258,326,584
Randy Ladouceur,D,1960-06-30,1960,57,930,30,126,156,"1,322",1:25,--,--,--,490,--,--,--,--,411,58,0,15,6,L,D,1960-06-30,Brockville,ON,CAN,CAN,74,220,--,--,--,19821983,1982,N,930,30,126,156
Dan Frawley,R,1962-06-02,1962,57,273,37,40,77,674,2:28,--,--,--,191,--,--,--,--,117,60,0,10,4,R,R,1962-06-02,Sturgeon Falls,ON,CAN,CAN,72,170,1980,10,204,19831984,1983,N,273,37,40,77
Ryane Clowe,L,1982-09-30,1982,57,491,112,197,309,618,1:15,16:28,7.6,--,197,--,--,--,--,134,56,0,5,2,L,L,1982-09-30,St. John's,NL,CAN,CAN,75,225,2001,6,175,20052006,2005,N,491,112,197,309
Nicolas Deslauriers,L,1991-02-22,1991,57,490,42,41,83,498,1:00,10:45,9.5,105,132,-27,1.2,1.5,-0.31,69,54,1,8,0,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,220,2009,3,84,20132014,2013,N,490,42,41,83
John Wensink,L,1953-04-01,1953,56,403,70,68,138,840,2:05,--,--,--,232,--,--,--,--,152,54,3,9,14,L,L,1953-04-01,Cornwall,ON,CAN,CAN,70,198,1973,7,104,19731974,1973,N,403,70,68,138
Brad Maxwell,D,1957-07-08,1957,56,613,98,270,368,"1,292",2:06,--,--,--,472,--,--,--,--,395,56,0,12,9,R,D,1957-07-08,Brandon,MB,CAN,CAN,74,194,1977,1,7,19771978,1977,N,613,98,270,368
Lee Norwood,D,1960-02-02,1960,56,503,58,153,211,"1,099",2:11,--,--,--,347,--,--,--,--,264,53,0,17,13,L,D,1960-02-02,Oakland,CA,USA,USA,73,198,1979,3,62,19801981,1980,N,503,58,153,211
Dave Lowry,L,1965-02-14,1965,56,"1,084",164,187,351,"1,191",1:05,--,--,--,394,--,--,--,--,308,57,0,17,12,L,L,1965-02-14,Sudbury,ON,CAN,CAN,73,192,1983,6,110,19851986,1985,N,"1,084",164,187,351
Jamie Pushor,D,1973-02-11,1973,56,521,14,46,60,648,1:14,--,--,--,208,--,--,--,--,144,56,0,4,4,R,D,1973-02-11,Lethbridge,AB,CAN,CAN,75,218,1991,2,32,19951996,1995,N,521,14,46,60
Brad Brown,D,1975-12-27,1975,56,330,2,27,29,747,2:15,--,--,--,226,--,--,--,--,151,61,0,9,5,R,D,1975-12-27,Baie Verte,NL,CAN,CAN,76,220,1994,1,18,19961997,1996,N,330,2,27,29
Brad Staubitz,R,1984-07-28,1984,56,230,10,11,21,521,2:15,6:23,35.5,--,148,--,--,--,--,87,53,0,6,2,R,R,1984-07-28,Edmonton,AB,CAN,CAN,73,207,--,--,--,20082009,2008,N,230,10,11,21
Rick Vaive,R,1959-05-14,1959,55,876,441,347,788,"1,445",1:38,--,--,--,510,--,--,--,--,422,57,0,23,8,R,R,1959-05-14,Ottawa,ON,CAN,CAN,73,198,1979,1,5,19791980,1979,N,876,441,347,788
Gary Nylund,D,1963-10-28,1963,55,608,32,139,171,"1,235",2:01,--,--,--,437,--,--,--,--,359,57,0,13,8,L,D,1963-10-28,Surrey,BC,CAN,CAN,76,210,1982,1,3,19821983,1982,N,608,32,139,171
Greg Smyth,D,1966-04-23,1966,55,229,4,16,20,783,3:25,--,--,--,201,--,--,--,--,119,55,1,13,13,R,D,1966-04-23,Oakville,ON,CAN,CAN,75,212,1984,2,22,19861987,1986,N,229,4,16,20
Todd Harvey,R,1975-02-17,1975,55,671,91,132,223,950,1:24,--,--,--,340,--,--,--,--,270,58,0,7,5,R,R,1975-02-17,Hamilton,ON,CAN,CAN,72,210,1993,1,9,19941995,1994,N,671,91,132,223
Raitis Ivanans,L,1979-01-03,1979,55,282,12,6,18,569,2:01,6:27,31.2,--,174,--,--,--,--,112,55,0,6,1,L,L,1979-01-03,Riga,--,LVA,LVA,76,231,--,--,--,20052006,2005,N,282,12,6,18
Dion Phaneuf,D,1985-04-10,1985,55,"1,048",137,357,494,"1,347",1:17,23:26,5.5,--,530,--,--,--,--,458,57,0,10,4,L,D,1985-04-10,Edmonton,AB,CAN,CAN,76,222,2003,1,9,20052006,2005,N,"1,048",137,357,494
Marcus Foligno,L,1991-08-10,1991,55,664,105,137,242,645,0:58,14:08,6.9,199,209,-10,1.27,1.34,-0.06,148,53,0,7,1,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,2011,N,664,105,137,242
Phil Russell,D,1952-07-21,1952,54,"1,016",99,325,424,"2,038",2:00,--,--,--,801,--,--,--,--,714,52,1,23,11,R,D,1952-07-21,Edmonton,AB,CAN,CAN,74,200,1972,1,13,19721973,1972,N,"1,016",99,325,424
Ulf Samuelsson,D,1964-03-26,1964,54,"1,080",57,275,332,"2,453",2:16,--,--,--,967,--,--,--,--,868,57,2,24,16,L,D,1964-03-26,Fagerstad,--,SWE,SWE,73,205,1982,4,67,19841985,1984,N,"1,080",57,275,332
Dan Kordic,L,1971-04-18,1971,54,197,4,8,12,584,2:57,--,--,--,136,--,--,--,--,62,56,0,14,4,L,L,1971-04-18,Edmonton,AB,CAN,CAN,77,233,1990,5,88,19911992,1991,N,197,4,8,12
Derian Hatcher,D,1972-06-04,1972,54,"1,045",80,251,331,"1,581",1:30,--,--,--,598,--,--,--,--,513,59,0,13,13,L,D,1972-06-04,Sterling Heights,MI,USA,USA,77,235,1990,1,8,19911992,1991,N,"1,045",80,251,331
Brantt Myhres,R,1974-03-18,1974,54,154,6,2,8,687,4:27,--,--,--,142,--,--,--,--,56,57,1,16,12,R,R,1974-03-18,Edmonton,AB,CAN,CAN,75,220,1992,5,97,19941995,1994,N,154,6,2,8
Ken Belanger,L,1974-05-14,1974,54,248,11,12,23,695,2:48,--,--,--,178,--,--,--,--,100,57,0,15,6,L,L,1974-05-14,Sault Ste. Marie,ON,CAN,CAN,76,225,1992,7,153,19941995,1994,N,248,11,12,23
P.J. Stock,C,1975-05-26,1975,54,235,5,21,26,523,2:13,5:44,38.7,--,151,--,--,--,--,89,55,0,4,3,L,C,1975-05-26,Montreal,QC,CAN,CAN,70,200,--,--,--,19971998,1997,N,235,5,21,26
Craig Adams,R,1977-04-26,1977,54,951,55,105,160,683,0:43,10:53,6.6,--,214,--,--,--,--,148,55,0,6,5,R,R,1977-04-26,Seria,--,BRN,CAN,72,200,1996,9,223,20002001,2000,N,951,55,105,160
Marc Potvin,R,1967-01-29,1967,54,121,3,5,8,456,3:46,--,--,--,118,--,--,--,--,58,52,0,2,6,R,R,1967-01-29,Ottawa,ON,CAN,CAN,73,215,1986,9,169,19901991,1990,N,121,3,5,8
Brad Park,D,1948-07-06,1948,53,"1,113",213,683,896,"1,429",1:17,--,--,--,550,--,--,--,--,480,47,0,13,10,L,D,1948-07-06,Toronto,ON,CAN,CAN,72,200,1966,1,2,19681969,1968,Y,"1,113",213,683,896
Dwight Schofield,D,1956-03-25,1956,53,211,8,22,30,628,2:58,--,--,--,167,--,--,--,--,98,54,0,10,5,L,D,1956-03-25,Waltham,MA,USA,USA,75,200,1976,5,76,19761977,1976,N,211,8,22,30
Herb Raglan,R,1967-08-05,1967,53,343,33,56,89,775,2:15,--,--,--,234,--,--,--,--,159,59,0,10,6,R,R,1967-08-05,Peterborough,ON,CAN,CAN,72,205,1985,2,37,19851986,1985,N,343,33,56,89
Craig Rivet,D,1974-09-13,1974,53,923,50,187,237,"1,171",1:16,--,--,--,420,--,--,--,--,346,53,1,13,7,R,D,1974-09-13,North Bay,ON,CAN,CAN,74,207,1992,3,68,19941995,1994,N,923,50,187,237
Adam Deadmarsh,R,1975-05-10,1975,53,567,184,189,373,819,1:26,--,--,--,268,--,--,--,--,196,59,1,8,4,R,R,1975-05-10,Trail,BC,CAN,USA,72,205,1993,1,14,19941995,1994,N,567,184,189,373
Matt Walker,D,1980-04-07,1980,53,314,4,26,30,464,1:28,15:09,9.8,--,139,--,--,--,--,85,50,0,3,1,R,D,1980-04-07,Beaverlodge,AB,CAN,CAN,76,215,1998,3,83,20022003,2002,N,314,4,26,30
Matt Carkner,D,1980-11-03,1980,53,237,4,23,27,556,2:20,14:16,16.4,--,168,--,--,--,--,108,52,0,7,1,R,D,1980-11-03,Winchester,ON,CAN,CAN,77,229,1999,2,58,20052006,2005,N,237,4,23,27
Mark Hardy,D,1959-02-01,1959,52,915,62,306,368,"1,293",1:24,--,--,--,472,--,--,--,--,397,51,3,14,7,L,D,1959-02-01,Samedan,--,CHE,CAN,71,195,1979,2,30,19791980,1979,N,915,62,306,368
Mark Messier,C,1961-01-18,1961,52,"1,756",694,"1,193","1,887","1,912",1:05,--,--,--,738,--,--,--,--,649,58,3,14,14,L,C,1961-01-18,Edmonton,AB,CAN,CAN,74,211,1979,3,48,19791980,1979,Y,"1,756",694,"1,193","1,887"
Paul Gillis,C,1963-12-31,1963,52,624,88,154,242,"1,501",2:24,--,--,--,580,--,--,--,--,505,55,1,7,12,L,C,1963-12-31,Toronto,ON,CAN,CAN,71,198,1982,2,34,19821983,1982,N,624,88,154,242
Grant Jennings,D,1965-05-05,1965,52,389,14,43,57,804,2:04,--,--,--,281,--,--,--,--,217,54,0,7,3,L,D,1965-05-05,Hudson Bay,SK,CAN,CAN,75,200,--,--,--,19881989,1988,N,389,14,43,57
Bill Huard,L,1967-06-24,1967,52,223,16,18,34,594,2:39,--,--,--,159,--,--,--,--,92,52,0,13,2,L,L,1967-06-24,Welland,ON,CAN,CAN,73,215,--,--,--,19921993,1992,N,223,16,18,34
Ron Delorme,C,1955-09-03,1955,51,524,83,83,166,667,1:16,--,--,--,171,--,--,--,--,99,53,0,14,5,R,C,1955-09-03,Cochin,SK,CAN,CAN,74,185,1975,4,56,19761977,1976,N,524,83,83,166
Brad Marsh,D,1958-03-31,1958,51,"1,086",23,175,198,"1,241",1:08,--,--,--,478,--,--,--,--,411,51,0,10,6,L,D,1958-03-31,London,ON,CAN,CAN,75,220,1978,1,11,19781979,1978,N,"1,086",23,175,198
Dave Richter,D,1960-04-08,1960,51,365,9,40,49,"1,030",2:49,--,--,--,330,--,--,--,--,254,50,1,13,12,R,D,1960-04-08,St. Boniface,MB,CAN,CAN,77,224,1980,10,205,19811982,1981,N,365,9,40,49
Michel Petit,D,1964-02-12,1964,51,827,90,238,328,"1,843",2:13,--,--,--,695,--,--,--,--,599,61,0,23,10,R,D,1964-02-12,St. Malo,QC,CAN,CAN,73,205,1982,1,11,19821983,1982,N,827,90,238,328
Robert Dirk,D,1966-08-20,1966,51,402,13,29,42,786,1:57,--,--,--,263,--,--,--,--,198,52,0,6,7,L,D,1966-08-20,Regina,SK,CAN,CAN,76,215,1984,3,53,19871988,1987,N,402,13,29,42
Keith Tkachuk,L,1972-03-28,1972,51,"1,201",538,527,"1,065","2,219",1:50,--,--,--,873,--,--,--,--,780,55,1,30,7,L,L,1972-03-28,Melrose,MA,USA,USA,74,235,1990,1,19,19911992,1991,N,"1,201",538,527,"1,065"
Steve Webb,R,1975-04-30,1975,51,321,5,13,18,532,1:39,--,--,--,160,--,--,--,--,101,52,0,5,2,R,R,1975-04-30,Peterborough,ON,CAN,CAN,72,211,1994,7,176,19961997,1996,N,321,5,13,18
Sheldon Souray,D,1976-07-13,1976,51,758,109,191,300,"1,145",1:30,20:29,7.4,--,427,--,--,--,--,359,51,1,11,5,L,D,1976-07-13,Elk Point,AB,CAN,CAN,76,231,1994,3,71,19971998,1997,N,758,109,191,300
Riley Cote,L,1982-03-16,1982,51,156,1,6,7,411,2:38,4:07,63.9,--,92,--,--,--,--,32,51,1,8,0,L,L,1982-03-16,Winnipeg,MB,CAN,CAN,74,220,--,--,--,20062007,2006,N,156,1,6,7
Tom Sestito,L,1987-09-28,1987,51,154,10,11,21,499,3:14,6:32,49.5,--,106,--,--,--,--,42,45,0,15,4,L,L,1987-09-28,Rome,NY,USA,USA,77,228,2006,3,85,20072008,2007,N,154,10,11,21
Gary Rissling,L,1956-08-18,1956,50,221,23,30,53,"1,006",4:33,--,--,--,250,--,--,--,--,155,52,2,30,11,L,L,1956-08-18,Saskatoon,SK,CAN,CAN,69,174,--,--,--,19781979,1978,N,221,23,30,53
Lane Lambert,R,1964-11-18,1964,50,283,58,66,124,521,1:50,--,--,--,159,--,--,--,--,104,49,0,3,3,R,R,1964-11-18,Melfort,SK,CAN,CAN,72,185,1983,2,25,19831984,1983,N,283,58,66,124
Neil Wilkinson,D,1967-08-15,1967,50,460,16,67,83,813,1:46,--,--,--,278,--,--,--,--,213,53,0,6,6,R,D,1967-08-15,Selkirk,MB,CAN,CAN,75,194,1986,2,30,19891990,1989,N,460,16,67,83
Francois Leroux,D,1970-04-18,1970,50,249,3,20,23,577,2:19,--,--,--,171,--,--,--,--,110,51,1,9,0,L,D,1970-04-18,Ste-Adele,QC,CAN,CAN,78,236,1988,1,19,19881989,1988,N,249,3,20,23
Jeremy Stevenson,L,1974-07-28,1974,50,207,19,19,38,451,2:10,--,--,--,121,--,--,--,--,63,51,0,5,2,L,L,1974-07-28,San Bernardino,CA,USA,USA,73,215,1994,11,262,19951996,1995,N,207,19,19,38
Patrick Cote,L,1975-01-24,1975,50,105,1,2,3,377,3:35,--,--,--,84,--,--,--,--,26,51,0,6,1,L,L,1975-01-24,LaSalle,QC,CAN,CAN,75,220,1995,2,37,19951996,1995,N,105,1,2,3
Rhett Warrener,D,1976-01-27,1976,50,714,24,82,106,899,1:15,--,--,--,329,--,--,--,--,267,51,0,6,5,R,D,1976-01-27,Shaunavon,SK,CAN,CAN,73,203,1994,2,27,19951996,1995,N,714,24,82,106
Adam Mair,C,1979-02-15,1979,50,615,38,76,114,829,1:20,9:10,14.7,--,270,--,--,--,--,201,53,1,8,7,R,C,1979-02-15,Hamilton,ON,CAN,CAN,73,208,1997,4,84,19992000,1999,N,615,38,76,114
Brad Winchester,L,1981-03-01,1981,50,390,37,31,68,552,1:24,9:10,15.4,--,176,--,--,--,--,120,50,0,5,1,L,L,1981-03-01,Madison,WI,USA,USA,77,230,2000,2,35,20052006,2005,N,390,37,31,68
Tim Gleason,D,1983-01-29,1983,50,727,17,125,142,701,0:57,18:53,5.1,--,229,--,--,--,--,170,47,0,8,4,L,D,1983-01-29,Clawson,MI,USA,USA,72,217,2001,1,23,20032004,2003,N,727,17,125,142
Kyle Chipchura,C,1986-02-19,1986,50,482,31,73,104,376,0:46,10:40,7.3,--,108,--,--,--,--,60,46,0,2,0,L,C,1986-02-19,Westlock,AB,CAN,CAN,74,203,2004,1,18,20072008,2007,N,482,31,73,104
